
Host: connor-LIFEBOOK-T937

Timers On : Thu Aug 17 14:53:39 2023
Timers Off: Thu Aug 17 14:55:08 2023

Wall Time:       88.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form D                          :      0.017u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.400u      0.850s      0.391w     11 calls
HF: Form C                          :      0.450u      0.000s      0.070w     11 calls
Grad: V T Perturb                   :      0.417u      0.050s      0.069w      1 calls
Grad: S                             :      0.100u      0.017s      0.018w      1 calls
Grad: JK                            :     43.767u      2.700s      7.645w      1 calls
JKGrad: Amn                         :     11.267u      1.083s      1.985w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      3.600u      0.283s      0.908w      1 calls
JKGrad: UV                          :      0.317u      0.050s      0.106w      1 calls
JKGrad: ABx                         :      0.517u      0.000s      0.087w      1 calls
JKGrad: Amnx                        :     27.950u      1.067s      4.505w      1 calls
Grad: XC                            :     36.167u     16.800s      8.129w      1 calls
V_xc gradient                       :     15.278p                           3318 calls

--------------------------------------------------------------------------------------
V: Grid                             :      7.133u      1.267s      1.388w      1 calls
| build grid                        :      6.233u      0.767s      1.061w      1 calls
| post-process grid                 :      0.867u      0.450s      0.318w      1 calls
DFH: sparsity prep                  :      0.100u      0.017s      0.068w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.017s      0.046w      1 calls
Libint2ERI::Libint2ERI              :      0.150u      0.000s      0.083w      2 calls
JK: (A|Q)^-1                        :      3.033u      0.433s      0.774w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w      8 calls
JK: (A|mn)                          :      5.633u      0.317s      0.936w      1 calls
JK: (Q|mn)                          :      4.717u      0.033s      1.235w      1 calls
JK: (Q|mn) Write                    :      0.133u      0.133s      0.075w      1 calls
HF: Form core H                     :      0.400u      0.117s      0.081w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.002w      1 calls
HF: Guess                           :      0.633u      0.683s      0.203w      1 calls
| SAD Guess                         :      0.600u      0.683s      0.199w      1 calls
HF: Form G                          :    285.483u    127.367s     63.600w     12 calls
| RV: Form V                        :    234.767u    116.800s     53.971w     12 calls
| | Properties                      :    113.010p                          39816 calls
| | Functional                      :     68.482p                          39816 calls
| | V_xc                            :     89.538p                          39816 calls
| JK: D                             :      0.000u      0.000s      0.001w     12 calls
| JK: USO2AO                        :      0.067u      0.017s      0.010w     12 calls
| JK: JK                            :     50.417u     10.450s      9.567w     12 calls
| | JK: (Q|mn) Read                 :      5.367u      8.633s      2.181w     24 calls
| | JK: J                           :      2.650u      0.100s      0.477w     24 calls
| | | JK: J1                        :      1.400u      0.050s      0.242w     24 calls
| | | JK: J2                        :      1.200u      0.050s      0.229w     24 calls
| | JK: K                           :     41.817u      1.383s      6.752w     24 calls
| | | JK: K1                        :     26.733u      0.883s      4.299w     24 calls
| | | JK: K2                        :     15.083u      0.500s      2.452w     24 calls
| JK: AO2USO                        :      0.150u      0.017s      0.028w     12 calls
HF: Form F                          :      0.033u      0.050s      0.007w     12 calls
HF: Form D                          :      0.017u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.400u      0.850s      0.391w     11 calls
HF: Form C                          :      0.450u      0.000s      0.070w     11 calls
Grad: V T Perturb                   :      0.417u      0.050s      0.069w      1 calls
Grad: S                             :      0.100u      0.017s      0.018w      1 calls
Grad: JK                            :     43.767u      2.700s      7.645w      1 calls
| JKGrad: Amn                       :     11.267u      1.083s      1.985w      1 calls
| | Libint2ERI::Libint2ERI          :      0.617u      0.567s      0.195w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :      3.600u      0.283s      0.908w      1 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.017s      0.006w      8 calls
| JKGrad: UV                        :      0.317u      0.050s      0.106w      1 calls
| JKGrad: ABx                       :      0.517u      0.000s      0.087w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: Amnx                      :     27.950u      1.067s      4.505w      1 calls
| | Libint2ERI::Libint2ERI          :      0.650u      0.650s      0.207w      1 calls
Grad: XC                            :     36.167u     16.800s      8.129w      1 calls
| Properties                        :     15.675p                           3318 calls
| Functional                        :     10.050p                           3318 calls
| V_xc gradient                     :     15.278p                           3318 calls

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Thu Aug 17 15:05:23 2023
Timers Off: Thu Aug 17 15:15:34 2023

Wall Time:      610.94 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Thu Aug 17 15:15:36 2023
Timers Off: Thu Aug 17 15:17:30 2023

Wall Time:      114.61 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      7.050u      1.167s      1.369w      1 calls
build grid                          :      6.117u      0.667s      1.032w      1 calls
post-process grid                   :      0.917u      0.500s      0.336w      1 calls
DFH: sparsity prep                  :      0.117u      0.000s      0.066w      1 calls
Libint2ERI::Libint2ERI              :      1.450u      1.250s      0.520w     22 calls
JK: (A|Q)^-1                        :      1.867u      0.600s      0.461w      1 calls
JK: (A|mn)                          :      4.917u      0.350s      0.815w      1 calls
JK: (Q|mn)                          :      4.250u      0.083s      1.113w      1 calls
JK: (Q|mn) Write                    :      0.167u      0.167s      0.093w      1 calls
HF: Form core H                     :      0.317u      0.100s      0.065w      1 calls
HF: Form S/X                        :      0.067u      0.017s      0.012w      1 calls
HF: Guess                           :      0.733u      0.883s      0.245w      1 calls
SAD Guess                           :      0.717u      0.883s      0.242w      1 calls
HF: Form G                          :    386.867u    169.617s     85.944w     11 calls
RV: Form V                          :    332.217u    159.517s     75.513w     11 calls
Properties                          :    177.432p                          39816 calls
Functional                          :    111.028p                          39816 calls
V_xc                                :    131.269p                          36498 calls
JK: D                               :      0.000u      0.000s      0.001w     11 calls
JK: USO2AO                          :      0.083u      0.017s      0.019w     11 calls
JK: JK                              :     53.967u      9.950s     10.302w     11 calls
JK: (Q|mn) Read                     :      5.150u      8.467s      2.271w     22 calls
JK: J                               :      1.800u      0.100s      0.420w     22 calls
JK: J1                              :      0.750u      0.033s      0.190w     22 calls
JK: J2                              :      0.967u      0.067s      0.222w     22 calls
JK: K                               :     46.567u      1.200s      7.483w     22 calls
JK: K1                              :     30.300u      0.667s      4.859w     22 calls
JK: K2                              :     16.267u      0.533s      2.623w     22 calls
JK: AO2USO                          :      0.400u      0.083s      0.069w     11 calls
HF: Form F                          :      0.067u      0.067s      0.025w     11 calls
HF: Form D                          :      0.017u      0.000s      0.003w     11 calls
HF: DIIS                            :      1.333u      1.000s      0.416w     10 calls
HF: Form C                          :      0.633u      0.017s      0.100w     10 calls
Grad: V T Perturb                   :      0.483u      0.033s      0.077w      1 calls
Grad: S                             :      0.083u      0.017s      0.016w      1 calls
Grad: JK                            :     42.167u      2.733s      7.083w      1 calls
JKGrad: Amn                         :     10.567u      1.100s      1.816w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      2.117u      0.250s      0.457w      1 calls
JKGrad: UV                          :      0.167u      0.017s      0.054w      1 calls
JKGrad: ABx                         :      0.300u      0.017s      0.051w      1 calls
JKGrad: Amnx                        :     28.900u      1.233s      4.660w      1 calls
Grad: XC                            :     55.917u     24.800s     12.477w      1 calls
V_xc gradient                       :     23.822p                           3318 calls

--------------------------------------------------------------------------------------
V: Grid                             :      7.050u      1.167s      1.369w      1 calls
| build grid                        :      6.117u      0.667s      1.032w      1 calls
| post-process grid                 :      0.917u      0.500s      0.336w      1 calls
DFH: sparsity prep                  :      0.117u      0.000s      0.066w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.045w      1 calls
Libint2ERI::Libint2ERI              :      0.133u      0.000s      0.077w      2 calls
JK: (A|Q)^-1                        :      1.867u      0.600s      0.461w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.008w      8 calls
JK: (A|mn)                          :      4.917u      0.350s      0.815w      1 calls
JK: (Q|mn)                          :      4.250u      0.083s      1.113w      1 calls
JK: (Q|mn) Write                    :      0.167u      0.167s      0.093w      1 calls
HF: Form core H                     :      0.317u      0.100s      0.065w      1 calls
HF: Form S/X                        :      0.067u      0.017s      0.012w      1 calls
HF: Guess                           :      0.733u      0.883s      0.245w      1 calls
| SAD Guess                         :      0.717u      0.883s      0.242w      1 calls
HF: Form G                          :    386.867u    169.617s     85.944w     11 calls
| RV: Form V                        :    332.217u    159.517s     75.513w     11 calls
| | Properties                      :    153.321p                          36498 calls
| | Functional                      :     95.875p                          36498 calls
| | V_xc                            :    131.269p                          36498 calls
| JK: D                             :      0.000u      0.000s      0.001w     11 calls
| JK: USO2AO                        :      0.083u      0.017s      0.019w     11 calls
| JK: JK                            :     53.967u      9.950s     10.302w     11 calls
| | JK: (Q|mn) Read                 :      5.150u      8.467s      2.271w     22 calls
| | JK: J                           :      1.800u      0.100s      0.420w     22 calls
| | | JK: J1                        :      0.750u      0.033s      0.190w     22 calls
| | | JK: J2                        :      0.967u      0.067s      0.222w     22 calls
| | JK: K                           :     46.567u      1.200s      7.483w     22 calls
| | | JK: K1                        :     30.300u      0.667s      4.859w     22 calls
| | | JK: K2                        :     16.267u      0.533s      2.623w     22 calls
| JK: AO2USO                        :      0.400u      0.083s      0.069w     11 calls
HF: Form F                          :      0.067u      0.067s      0.025w     11 calls
HF: Form D                          :      0.017u      0.000s      0.003w     11 calls
HF: DIIS                            :      1.333u      1.000s      0.416w     10 calls
HF: Form C                          :      0.633u      0.017s      0.100w     10 calls
Grad: V T Perturb                   :      0.483u      0.033s      0.077w      1 calls
Grad: S                             :      0.083u      0.017s      0.016w      1 calls
Grad: JK                            :     42.167u      2.733s      7.083w      1 calls
| JKGrad: Amn                       :     10.567u      1.100s      1.816w      1 calls
| | Libint2ERI::Libint2ERI          :      0.617u      0.567s      0.190w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :      2.117u      0.250s      0.457w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.017s      0.004w      8 calls
| JKGrad: UV                        :      0.167u      0.017s      0.054w      1 calls
| JKGrad: ABx                       :      0.300u      0.017s      0.051w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: Amnx                      :     28.900u      1.233s      4.660w      1 calls
| | Libint2ERI::Libint2ERI          :      0.600u      0.650s      0.195w      1 calls
Grad: XC                            :     55.917u     24.800s     12.477w      1 calls
| Properties                        :     24.111p                           3318 calls
| Functional                        :     15.152p                           3318 calls
| V_xc gradient                     :     23.822p                           3318 calls

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Thu Aug 17 15:18:40 2023
Timers Off: Thu Aug 17 15:20:37 2023

Wall Time:      117.09 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      6.933u      1.200s      1.357w      1 calls
build grid                          :      5.983u      0.667s      1.010w      1 calls
post-process grid                   :      0.933u      0.533s      0.347w      1 calls
DFH: sparsity prep                  :      0.117u      0.000s      0.070w      1 calls
Libint2ERI::Libint2ERI              :      1.483u      1.283s      0.540w     22 calls
JK: (A|Q)^-1                        :      1.900u      0.550s      0.456w      1 calls
JK: (A|mn)                          :      5.067u      0.350s      0.832w      1 calls
JK: (Q|mn)                          :      4.250u      0.050s      1.094w      1 calls
JK: (Q|mn) Write                    :      0.150u      0.150s      0.093w      1 calls
HF: Form core H                     :      0.317u      0.083s      0.064w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.004w      1 calls
HF: Guess                           :      0.717u      0.783s      0.228w      1 calls
SAD Guess                           :      0.683u      0.783s      0.221w      1 calls
HF: Form G                          :    388.883u    179.017s     88.481w     11 calls
RV: Form V                          :    334.867u    168.017s     78.108w     11 calls
Properties                          :    183.546p                          39816 calls
Functional                          :    113.262p                          39816 calls
V_xc                                :    134.849p                          36498 calls
JK: D                               :      0.000u      0.000s      0.001w     11 calls
JK: USO2AO                          :      0.050u      0.033s      0.018w     11 calls
JK: JK                              :     53.367u     10.900s     10.251w     11 calls
JK: (Q|mn) Read                     :      5.783u      9.217s      2.428w     22 calls
JK: J                               :      1.417u      0.017s      0.370w     22 calls
JK: J1                              :      0.650u      0.017s      0.183w     22 calls
JK: J2                              :      0.600u      0.000s      0.173w     22 calls
JK: K                               :     45.700u      1.433s      7.330w     22 calls
JK: K1                              :     30.300u      0.817s      4.852w     22 calls
JK: K2                              :     15.400u      0.617s      2.478w     22 calls
JK: AO2USO                          :      0.367u      0.000s      0.067w     11 calls
HF: Form F                          :      0.067u      0.050s      0.019w     11 calls
HF: Form D                          :      0.000u      0.000s      0.003w     11 calls
HF: DIIS                            :      1.367u      0.800s      0.362w     10 calls
HF: Form C                          :      0.517u      0.050s      0.089w     10 calls
Grad: V T Perturb                   :      0.467u      0.067s      0.083w      1 calls
Grad: S                             :      0.083u      0.033s      0.018w      1 calls
Grad: JK                            :     42.333u      2.917s      7.172w      1 calls
JKGrad: Amn                         :     10.600u      1.167s      1.869w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      2.083u      0.233s      0.452w      1 calls
JKGrad: UV                          :      0.150u      0.017s      0.053w      1 calls
JKGrad: ABx                         :      0.300u      0.050s      0.056w      1 calls
JKGrad: Amnx                        :     29.117u      1.317s      4.702w      1 calls
Grad: XC                            :     55.983u     25.433s     12.639w      1 calls
V_xc gradient                       :     24.375p                           3318 calls

--------------------------------------------------------------------------------------
V: Grid                             :      6.933u      1.200s      1.357w      1 calls
| build grid                        :      5.983u      0.667s      1.010w      1 calls
| post-process grid                 :      0.933u      0.533s      0.347w      1 calls
DFH: sparsity prep                  :      0.117u      0.000s      0.070w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.047w      1 calls
Libint2ERI::Libint2ERI              :      0.133u      0.000s      0.082w      2 calls
JK: (A|Q)^-1                        :      1.900u      0.550s      0.456w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.008w      8 calls
JK: (A|mn)                          :      5.067u      0.350s      0.832w      1 calls
JK: (Q|mn)                          :      4.250u      0.050s      1.094w      1 calls
JK: (Q|mn) Write                    :      0.150u      0.150s      0.093w      1 calls
HF: Form core H                     :      0.317u      0.083s      0.064w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.004w      1 calls
HF: Guess                           :      0.717u      0.783s      0.228w      1 calls
| SAD Guess                         :      0.683u      0.783s      0.221w      1 calls
HF: Form G                          :    388.883u    179.017s     88.481w     11 calls
| RV: Form V                        :    334.867u    168.017s     78.108w     11 calls
| | Properties                      :    159.364p                          36498 calls
| | Functional                      :     98.154p                          36498 calls
| | V_xc                            :    134.849p                          36498 calls
| JK: D                             :      0.000u      0.000s      0.001w     11 calls
| JK: USO2AO                        :      0.050u      0.033s      0.018w     11 calls
| JK: JK                            :     53.367u     10.900s     10.251w     11 calls
| | JK: (Q|mn) Read                 :      5.783u      9.217s      2.428w     22 calls
| | JK: J                           :      1.417u      0.017s      0.370w     22 calls
| | | JK: J1                        :      0.650u      0.017s      0.183w     22 calls
| | | JK: J2                        :      0.600u      0.000s      0.173w     22 calls
| | JK: K                           :     45.700u      1.433s      7.330w     22 calls
| | | JK: K1                        :     30.300u      0.817s      4.852w     22 calls
| | | JK: K2                        :     15.400u      0.617s      2.478w     22 calls
| JK: AO2USO                        :      0.367u      0.000s      0.067w     11 calls
HF: Form F                          :      0.067u      0.050s      0.019w     11 calls
HF: Form D                          :      0.000u      0.000s      0.003w     11 calls
HF: DIIS                            :      1.367u      0.800s      0.362w     10 calls
HF: Form C                          :      0.517u      0.050s      0.089w     10 calls
Grad: V T Perturb                   :      0.467u      0.067s      0.083w      1 calls
Grad: S                             :      0.083u      0.033s      0.018w      1 calls
Grad: JK                            :     42.333u      2.917s      7.172w      1 calls
| JKGrad: Amn                       :     10.600u      1.167s      1.869w      1 calls
| | Libint2ERI::Libint2ERI          :      0.633u      0.533s      0.192w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :      2.083u      0.233s      0.452w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.050s      0.006w      8 calls
| JKGrad: UV                        :      0.150u      0.017s      0.053w      1 calls
| JKGrad: ABx                       :      0.300u      0.050s      0.056w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: Amnx                      :     29.117u      1.317s      4.702w      1 calls
| | Libint2ERI::Libint2ERI          :      0.617u      0.683s      0.204w      1 calls
Grad: XC                            :     55.983u     25.433s     12.639w      1 calls
| Properties                        :     24.183p                           3318 calls
| Functional                        :     15.108p                           3318 calls
| V_xc gradient                     :     24.375p                           3318 calls

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Thu Aug 17 15:21:12 2023
Timers Off: Thu Aug 17 15:23:49 2023

Wall Time:      156.84 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      7.050u      1.100s      1.356w      1 calls
build grid                          :      6.067u      0.667s      1.019w      1 calls
post-process grid                   :      0.967u      0.433s      0.337w      1 calls
DFH: sparsity prep                  :      0.117u      0.017s      0.072w      1 calls
Libint2ERI::Libint2ERI              :      1.417u      0.900s      0.592w     22 calls
JK: (A|Q)^-1                        :      1.883u      0.533s      0.442w      1 calls
JK: (A|mn)                          :      5.083u      0.400s      0.838w      1 calls
JK: (Q|mn)                          :      4.283u      0.033s      1.103w      1 calls
JK: (Q|mn) Write                    :      0.167u      0.150s      0.094w      1 calls
HF: Form core H                     :      0.367u      0.083s      0.070w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.007w      1 calls
HF: Guess                           :      0.617u      0.617s      0.189w      1 calls
SAD Guess                           :      0.600u      0.600s      0.185w      1 calls
HF: Form G                          :    433.067u    222.833s    119.402w     11 calls
RV: Form V                          :    380.433u    212.750s    107.901w     11 calls
Properties                          :    254.262p                          39816 calls
Functional                          :    149.298p                          39816 calls
V_xc                                :    182.905p                          36498 calls
JK: D                               :      0.017u      0.000s      0.002w     11 calls
JK: USO2AO                          :      0.133u      0.017s      0.029w     11 calls
JK: JK                              :     51.867u     10.033s     11.350w     11 calls
JK: (Q|mn) Read                     :      4.850u      8.283s      2.511w     22 calls
JK: J                               :      1.650u      0.033s      0.465w     22 calls
JK: J1                              :      0.833u      0.017s      0.232w     22 calls
JK: J2                              :      0.733u      0.000s      0.224w     22 calls
JK: K                               :     44.933u      1.517s      8.256w     22 calls
JK: K1                              :     29.350u      0.933s      5.437w     22 calls
JK: K2                              :     15.567u      0.583s      2.817w     22 calls
JK: AO2USO                          :      0.350u      0.000s      0.067w     11 calls
HF: Form F                          :      0.100u      0.133s      0.036w     11 calls
HF: Form D                          :      0.017u      0.000s      0.003w     11 calls
HF: DIIS                            :      1.433u      0.917s      0.416w     10 calls
HF: Form C                          :      0.767u      0.083s      0.143w     10 calls
Grad: V T Perturb                   :      0.650u      0.117s      0.164w      1 calls
Grad: S                             :      0.167u      0.050s      0.043w      1 calls
Grad: JK                            :     46.250u      2.383s      9.326w      1 calls
JKGrad: Amn                         :     11.900u      1.050s      2.676w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      2.383u      0.183s      0.559w      1 calls
JKGrad: UV                          :      0.200u      0.017s      0.068w      1 calls
JKGrad: ABx                         :      0.333u      0.017s      0.068w      1 calls
JKGrad: Amnx                        :     31.317u      1.050s      5.912w      1 calls
Grad: XC                            :     64.300u     31.067s     18.554w      1 calls
V_xc gradient                       :     36.617p                           3318 calls

--------------------------------------------------------------------------------------
V: Grid                             :      7.050u      1.100s      1.356w      1 calls
| build grid                        :      6.067u      0.667s      1.019w      1 calls
| post-process grid                 :      0.967u      0.433s      0.337w      1 calls
DFH: sparsity prep                  :      0.117u      0.017s      0.072w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.017s      0.047w      1 calls
Libint2ERI::Libint2ERI              :      0.133u      0.000s      0.085w      2 calls
JK: (A|Q)^-1                        :      1.883u      0.533s      0.442w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.005w      8 calls
JK: (A|mn)                          :      5.083u      0.400s      0.838w      1 calls
JK: (Q|mn)                          :      4.283u      0.033s      1.103w      1 calls
JK: (Q|mn) Write                    :      0.167u      0.150s      0.094w      1 calls
HF: Form core H                     :      0.367u      0.083s      0.070w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.007w      1 calls
HF: Guess                           :      0.617u      0.617s      0.189w      1 calls
| SAD Guess                         :      0.600u      0.600s      0.185w      1 calls
HF: Form G                          :    433.067u    222.833s    119.402w     11 calls
| RV: Form V                        :    380.433u    212.750s    107.901w     11 calls
| | Properties                      :    217.352p                          36498 calls
| | Functional                      :    129.104p                          36498 calls
| | V_xc                            :    182.905p                          36498 calls
| JK: D                             :      0.017u      0.000s      0.002w     11 calls
| JK: USO2AO                        :      0.133u      0.017s      0.029w     11 calls
| JK: JK                            :     51.867u     10.033s     11.350w     11 calls
| | JK: (Q|mn) Read                 :      4.850u      8.283s      2.511w     22 calls
| | JK: J                           :      1.650u      0.033s      0.465w     22 calls
| | | JK: J1                        :      0.833u      0.017s      0.232w     22 calls
| | | JK: J2                        :      0.733u      0.000s      0.224w     22 calls
| | JK: K                           :     44.933u      1.517s      8.256w     22 calls
| | | JK: K1                        :     29.350u      0.933s      5.437w     22 calls
| | | JK: K2                        :     15.567u      0.583s      2.817w     22 calls
| JK: AO2USO                        :      0.350u      0.000s      0.067w     11 calls
HF: Form F                          :      0.100u      0.133s      0.036w     11 calls
HF: Form D                          :      0.017u      0.000s      0.003w     11 calls
HF: DIIS                            :      1.433u      0.917s      0.416w     10 calls
HF: Form C                          :      0.767u      0.083s      0.143w     10 calls
Grad: V T Perturb                   :      0.650u      0.117s      0.164w      1 calls
Grad: S                             :      0.167u      0.050s      0.043w      1 calls
Grad: JK                            :     46.250u      2.383s      9.326w      1 calls
| JKGrad: Amn                       :     11.900u      1.050s      2.676w      1 calls
| | Libint2ERI::Libint2ERI          :      0.583u      0.333s      0.218w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :      2.383u      0.183s      0.559w      1 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.033s      0.014w      8 calls
| JKGrad: UV                        :      0.200u      0.017s      0.068w      1 calls
| JKGrad: ABx                       :      0.333u      0.017s      0.068w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: Amnx                      :     31.317u      1.050s      5.912w      1 calls
| | Libint2ERI::Libint2ERI          :      0.583u      0.517s      0.222w      1 calls
Grad: XC                            :     64.300u     31.067s     18.554w      1 calls
| Properties                        :     36.910p                           3318 calls
| Functional                        :     20.194p                           3318 calls
| V_xc gradient                     :     36.617p                           3318 calls

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Thu Aug 17 15:26:12 2023
Timers Off: Thu Aug 17 15:52:56 2023

Wall Time:     1603.79 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :    117.050u     15.267s     23.051w     14 calls
build grid                          :    103.617u      9.600s     18.092w     14 calls
post-process grid                   :     13.383u      5.617s      4.942w     14 calls
DFH: sparsity prep                  :      1.700u      0.017s      1.054w     15 calls
Libint2ERI::Libint2ERI              :     21.283u     15.833s      7.611w    324 calls
JK: (A|Q)^-1                        :     28.067u      8.633s      7.491w     14 calls
JK: (A|mn)                          :     97.333u      6.683s     16.708w     15 calls
JK: (Q|mn)                          :     82.100u      0.717s     22.738w     15 calls
JK: (Q|mn) Write                    :      3.083u      3.017s      2.377w     14 calls
HF: Form core H                     :      5.983u      1.650s      1.272w     15 calls
HF: Form S/X                        :      4.117u      0.267s      0.781w     15 calls
HF: Guess                           :      2.167u      1.817s      0.652w     15 calls
SAD Guess                           :      2.050u      1.817s      0.632w      3 calls
HF: Form G                          :   4854.367u   2244.917s   1164.164w    143 calls
RV: Form V                          :   4175.283u   2114.917s   1028.923w    132 calls
Properties                          :   2446.840p                         482658 calls
Functional                          :   1468.886p                         482658 calls
V_xc                                :   1770.009p                         439368 calls
JK: D                               :      0.150u      0.067s      0.049w    143 calls
JK: USO2AO                          :      0.017u      0.000s      0.002w    143 calls
JK: JK                              :    677.950u    129.600s    134.947w    143 calls
JK: (Q|mn) Read                     :     67.433u    109.650s     30.065w    264 calls
JK: J                               :     19.267u      0.517s      5.040w    286 calls
JK: J1                              :      9.417u      0.200s      2.487w    286 calls
JK: J2                              :      9.133u      0.133s      2.444w    286 calls
JK: K                               :    587.183u     17.867s     98.865w    286 calls
JK: K1                              :    386.167u      9.633s     64.678w    286 calls
JK: K2                              :    200.850u      8.200s     34.166w    286 calls
JK: AO2USO                          :      0.017u      0.000s      0.000w    143 calls
HF: Form F                          :      1.283u      0.950s      0.387w    143 calls
HF: Form D                          :      1.233u      0.150s      0.222w    143 calls
HF: DIIS                            :     20.050u      4.600s      4.119w    140 calls
HF: Form C                          :     43.667u      1.900s      7.407w    140 calls
Grad: V T Perturb                   :      6.133u      0.800s      1.107w     13 calls
Grad: S                             :      1.333u      0.333s      0.258w     13 calls
Grad: JK                            :    558.033u     35.683s     96.929w     13 calls
JKGrad: Amn                         :    140.683u     15.617s     25.364w     13 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     13 calls
